,sna,tot,sbi,sarea,mday,ar,bemp,act
472,YouBike2.0_中華路一段21巷口,22,5,中正區,2023-06-10 14:11:15,中華路一段11號(斜前方),17,1
473,YouBike2.0_捷運臺大醫院站(4號出口),60,4,中正區,2023-06-10 14:18:14,常德街1號(公園路側),56,1
474,YouBike2.0_寶藏巖觀音亭,23,2,中正區,2023-06-10 13:39:14,汀州路三段230巷23號,20,1
475,YouBike2.0_師大水源路口,21,3,中正區,2023-06-10 14:16:15,師大路/水源路口(東南側),18,1
476,YouBike2.0_中山徐州路口,16,5,中正區,2023-06-10 14:19:13,中山南路/徐州路(東南側),11,1
477,YouBike2.0_信義連雲街口,31,5,中正區,2023-06-10 14:18:14,信義路二段213號前,26,1
484,YouBike2.0_北平東杭州北路口,20,4,中正區,2023-06-10 14:09:14,北平東路/杭州北路口(東北側),16,1
487,YouBike2.0_林森徐州路口,16,2,中正區,2023-06-10 14:17:38,林森南路/徐州路口(西南側),14,1
488,YouBike2.0_徐州杭州路口,19,4,中正區,2023-06-10 14:09:14,徐州路/杭州南路一段口(西北側),15,1
489,YouBike2.0_捷運中正紀念堂站(6號出口),17,0,中正區,2023-06-10 13:32:04,捷運中正紀念堂站(6號出口)北側,17,1
490,YouBike2.0_捷運臺北車站(M2出口),20,3,中正區,2023-06-10 14:10:09,市民大道一段168號旁,17,1
493,YouBike2.0_弘道國中,18,2,中正區,2023-06-10 13:09:14,公園路21號西北側,16,1
494,YouBike2.0_臺北市第一女子高級中學,17,1,中正區,2023-06-10 13:34:04,重慶南路一段165號旁,16,1
496,YouBike2.0_紹興徐州路口,18,3,中正區,2023-06-10 13:12:15,紹興南街/徐州路(東南側),15,1
501,YouBike2.0_仁愛金山路口,9,1,中正區,2023-06-10 13:50:21,仁愛路二段31號前,8,1
502,YouBike2.0_杭州南路一段101巷口,14,3,中正區,2023-06-10 12:52:16,金山南路一段72號前,11,1
503,YouBike2.0_仁愛杭州路口,15,1,中正區,2023-06-10 14:08:04,仁愛路一段59號旁,14,1
